ZAWODNIK,KLUB,POZYCJA,MIN BEZ GOLA,MECZE BEZ GOLA,OSTATNI GOL,OSTATNI GOL PRZECIW,MIN BEZ GOLA LUB ASYSTY,MECZE BEZ GOLA LUB ASYSTY,OSTATNI GOL LUB ASYSTA,OSTATNI GOL LUB ASYSTA PRZECIW
Juan Munoz,Zagłębie Lubin,napastnik,40,3,04.05.2024,Raków,40,3,04.05.2024,Raków
Mike Huras,Ruch Chorzów,napastnik,30,2,-,-,30,2,-,-
Artur Pląskowski,Ruch Chorzów,napastnik,28,2,-,-,28,2,-,-
Maksymilian Dziuba,Lech Poznań,pomocnik,27,3,-,-,27,3,-,-
Alan Rybak,Jagiellonia Białystok,napastnik,25,3,-,-,25,3,-,-
Marcel Wędrychowski,Pogoń Szczecin,pomocnik,24,0,25.05.2024,Górnik Z,24,0,25.05.2024,Górnik Z
Jakub Snopczyński,Radomiak Radom,pomocnik,23,3,-,-,23,3,-,-
Ilja Szkurin,Stal Mielec,napastnik,22,0,25.05.2024,ŁKS,22,0,25.05.2024,ŁKS
Daniel Bąk,Korona Kielce,napastnik,21,5,-,-,21,5,-,-
Jan Łabędzki,ŁKS Łódź,pomocnik,21,3,-,-,21,3,-,-
Jewgienij Szykawka,Korona Kielce,napastnik,20,0,25.05.2024,Lech,20,0,25.05.2024,Lech
Kamil Zapolnik,Puszcza Niepołomice,pomocnik,20,0,25.05.2024,Piast,20,0,25.05.2024,Piast
Fran Alvarez,Widzew Łódź,pomocnik,18,0,25.05.2024,Radomiak,18,0,25.05.2024,Radomiak
Jordi Sanchez,Widzew Łódź,napastnik,17,0,25.05.2024,Radomiak,0,0,25.05.2024,Radomiak
Krzysztof Kolanko,Górnik Zabrze,pomocnik,16,3,-,-,16,3,-,-
Oskar Leśniak,Piast Gliwice,pomocnik,15,1,-,-,15,1,-,-
Nahuel Leiva,Śląsk Wrocław,pomocnik,15,0,25.05.2024,Raków,15,0,25.05.2024,Raków
Marek Mróz,Zagłębie Lubin,pomocnik,14,0,25.05.2024,Legia,14,0,25.05.2024,Legia
Marko Poletanović,Zagłębie Lubin,pomocnik,12,1,12.05.2024,Widzew,12,1,12.05.2024,Widzew
Bartłomiej Kolec,Cracovia,pomocnik,10,2,-,-,10,2,-,-
Patryk Malamis,Raków Częstochowa,pomocnik,9,1,-,-,9,1,-,-
Fabian Bzdyl,Cracovia,pomocnik,7,1,-,-,7,1,-,-
Fabian Piasecki,Piast Gliwice,napastnik,7,0,15.04.2024,Zagłębie L,7,0,15.04.2024,Zagłębie L
Filip Karbowy,Piast Gliwice,pomocnik,6,1,-,-,6,1,-,-
Hubert Szulc,Korona Kielce,napastnik,5,1,-,-,5,1,-,-
Norbert Pacławski,Lech Poznań,napastnik,5,2,-,-,5,2,-,-
Igor Pieprzyca,Puszcza Niepołomice,pomocnik,2,2,-,-,2,2,-,-
Łukasz Wolsztyński,Stal Mielec,pomocnik,2,0,25.05.2024,ŁKS,2,0,25.05.2024,ŁKS
Jędrzej Hanuszczak,Warta Poznań,pomocnik,2,1,-,-,2,1,-,-
Damian Wojdakowski,Jagiellonia Białystok,pomocnik,1,1,-,-,1,1,-,-
Pirulo,ŁKS Łódź,pomocnik,1,0,25.05.2024,Stal,1,0,25.05.2024,Stal
Kacper Masiak,Raków Częstochowa,pomocnik,1,1,-,-,1,1,-,-
Alex Cetnar,Stal Mielec,pomocnik,1,1,-,-,1,1,-,-
Mateusz Kempski,Widzew Łódź,napastnik,1,1,-,-,1,1,-,-
Soma Novothny,Ruch Chorzów,napastnik,0,0,25.05.2024,Cracovia,0,0,25.05.2024,Cracovia
Dominik Kun,Widzew Łódź,pomocnik,0,0,25.05.2024,Radomiak,0,0,25.05.2024,Radomiak
